id,app1,rating1,app2,rating2,app3,rating3
1.0,KB Pay,3.3,YouTube Music,3.3,Uber Eats Orders,3.3
2.0,Beat Jam - Music Maker Pad,3.5,YouTube Music,4.0,Game of the Gods,3.5
3.0,Apple Music,4.5,KakaoMap - Korea No.1 Map,3.8,Google Photos,3.8
4.0,Apple Music,3.8,KakaoMap - Korea No.1 Map,3.5,Google Photos,3.9
,Naver Papago - AI Translator,3.6,"NAVER Map, Navigation",3.9,YouTube Music,3.6
5.0,"NAVER Map, Navigation",3.3,Apple Music,3.6,YouTube Music,4.3
6.0,Naver Papago - AI Translator,3.3,,,,
7.0,KB Pay,3.3,,,,
8.0,Apple Music,3.2,NAVER Korean Dictionary,2.9,Ielts Speaking,3.2
9.0,YouTube Music,3.3,Google Meet,3.6,Samsung Galaxy Buds,3.8
10.0,YouTube Music,3.3,Google Meet,2.0,Samsung Galaxy Buds,3.8
11.0,NAVER Korean Dictionary,2.3,Netflix,3.8,Samsung Health,4.0
12.0,NAVER Korean Dictionary,2.3,Netflix,3.8,Samsung Health,4.0
13.0,Netflix,4.0,Microsoft Dynamics 365,3.8,"NAVER Map, Navigation",2.7
14.0,Apple Music,3.8,KB Pay,3.5,Samsung Health,4.1
15.0,Do! - Simple To Do List,3.6,Notion,3.9,Google Meet,3.8
16.0,Apple Music,3.8,Disney+,4.1,Samsung Health,3.0
